system,degree,monoid_order,depth,level,slot,group_order,structure_description,is_nontrivial,rep_support_size,n_tiles,rep_support_paper,tiles_paper
W_to_D,32,3084,22,13,1,1,1,false,3,3,"{4=(D:0,W:4) 12=(D:1,W:4) 13=(D:1,W:5)}","{4=(D:0,W:4) 12=(D:1,W:4)} | {4=(D:0,W:4) 13=(D:1,W:5)} | {12=(D:1,W:4) 13=(D:1,W:5)}"
W_to_D,32,3084,22,14,1,2,C2,true,3,3,"{17=(D:2,W:1) 21=(D:2,W:5) 29=(D:3,W:5)}","{17=(D:2,W:1) 21=(D:2,W:5)} | {17=(D:2,W:1) 29=(D:3,W:5)} | {21=(D:2,W:5) 29=(D:3,W:5)}"
W_to_D,32,3084,22,14,2,1,1,false,3,3,"{17=(D:2,W:1) 23=(D:2,W:7) 31=(D:3,W:7)}","{17=(D:2,W:1) 23=(D:2,W:7)} | {17=(D:2,W:1) 31=(D:3,W:7)} | {23=(D:2,W:7) 31=(D:3,W:7)}"
W_to_D,32,3084,22,14,3,1,1,false,3,3,"{21=(D:2,W:5) 23=(D:2,W:7) 31=(D:3,W:7)}","{21=(D:2,W:5) 23=(D:2,W:7)} | {21=(D:2,W:5) 31=(D:3,W:7)} | {23=(D:2,W:7) 31=(D:3,W:7)}"
W_to_D,32,3084,22,15,1,1,1,false,3,3,"{0=(D:0,W:0) 9=(D:1,W:1) 17=(D:2,W:1)}","{0=(D:0,W:0) 9=(D:1,W:1)} | {0=(D:0,W:0) 17=(D:2,W:1)} | {9=(D:1,W:1) 17=(D:2,W:1)}"
W_to_D,32,3084,22,15,2,1,1,false,3,3,"{10=(D:1,W:2) 11=(D:1,W:3) 19=(D:2,W:3)}","{10=(D:1,W:2) 11=(D:1,W:3)} | {10=(D:1,W:2) 19=(D:2,W:3)} | {11=(D:1,W:3) 19=(D:2,W:3)}"
W_to_D,32,3084,22,15,3,1,1,false,3,3,"{11=(D:1,W:3) 17=(D:2,W:1) 19=(D:2,W:3)}","{11=(D:1,W:3) 17=(D:2,W:1)} | {11=(D:1,W:3) 19=(D:2,W:3)} | {17=(D:2,W:1) 19=(D:2,W:3)}"
W_to_D,32,3084,22,15,4,1,1,false,3,3,"{15=(D:1,W:7) 21=(D:2,W:5) 23=(D:2,W:7)}","{15=(D:1,W:7) 21=(D:2,W:5)} | {15=(D:1,W:7) 23=(D:2,W:7)} | {21=(D:2,W:5) 23=(D:2,W:7)}"
W_to_D,32,3084,22,15,5,1,1,false,3,3,"{15=(D:1,W:7) 22=(D:2,W:6) 23=(D:2,W:7)}","{15=(D:1,W:7) 22=(D:2,W:6)} | {15=(D:1,W:7) 23=(D:2,W:7)} | {22=(D:2,W:6) 23=(D:2,W:7)}"
W_to_D,32,3084,22,15,6,1,1,false,3,3,"{13=(D:1,W:5) 21=(D:2,W:5) 22=(D:2,W:6)}","{13=(D:1,W:5) 21=(D:2,W:5)} | {13=(D:1,W:5) 22=(D:2,W:6)} | {21=(D:2,W:5) 22=(D:2,W:6)}"
W_to_D,32,3084,22,15,7,1,1,false,3,3,"{4=(D:0,W:4) 13=(D:1,W:5) 21=(D:2,W:5)}","{4=(D:0,W:4) 13=(D:1,W:5)} | {4=(D:0,W:4) 21=(D:2,W:5)} | {13=(D:1,W:5) 21=(D:2,W:5)}"
W_to_D,32,3084,22,15,8,1,1,false,3,3,"{19=(D:2,W:3) 23=(D:2,W:7) 31=(D:3,W:7)}","{19=(D:2,W:3) 23=(D:2,W:7)} | {19=(D:2,W:3) 31=(D:3,W:7)} | {23=(D:2,W:7) 31=(D:3,W:7)}"
W_to_D,32,3084,22,16,1,1,1,false,3,3,"{13=(D:1,W:5) 17=(D:2,W:1) 21=(D:2,W:5)}","{13=(D:1,W:5) 17=(D:2,W:1)} | {13=(D:1,W:5) 21=(D:2,W:5)} | {17=(D:2,W:1) 21=(D:2,W:5)}"
W_to_D,32,3084,22,16,2,1,1,false,3,3,"{15=(D:1,W:7) 19=(D:2,W:3) 23=(D:2,W:7)}","{15=(D:1,W:7) 19=(D:2,W:3)} | {15=(D:1,W:7) 23=(D:2,W:7)} | {19=(D:2,W:3) 23=(D:2,W:7)}"
W_to_D,32,3084,22,17,1,2,C2,true,2,2,"{10=(D:1,W:2) 19=(D:2,W:3)}","{10=(D:1,W:2)} | {19=(D:2,W:3)}"
W_to_D,32,3084,22,18,1,1,1,false,2,2,"{0=(D:0,W:0) 17=(D:2,W:1)}","{0=(D:0,W:0)} | {17=(D:2,W:1)}"
W_to_D,32,3084,22,18,2,1,1,false,2,2,"{22=(D:2,W:6) 23=(D:2,W:7)}","{22=(D:2,W:6)} | {23=(D:2,W:7)}"
W_to_D,32,3084,22,18,3,1,1,false,2,2,"{22=(D:2,W:6) 31=(D:3,W:7)}","{22=(D:2,W:6)} | {31=(D:3,W:7)}"
W_to_D,32,3084,22,18,4,1,1,false,2,2,"{0=(D:0,W:0) 9=(D:1,W:1)}","{0=(D:0,W:0)} | {9=(D:1,W:1)}"
W_to_D,32,3084,22,18,5,1,1,false,2,2,"{15=(D:1,W:7) 22=(D:2,W:6)}","{15=(D:1,W:7)} | {22=(D:2,W:6)}"
W_to_D,32,3084,22,18,6,1,1,false,2,2,"{13=(D:1,W:5) 29=(D:3,W:5)}","{13=(D:1,W:5)} | {29=(D:3,W:5)}"
W_to_D,32,3084,22,19,1,1,1,false,2,2,"{10=(D:1,W:2) 18=(D:2,W:2)}","{10=(D:1,W:2)} | {18=(D:2,W:2)}"
W_to_D,32,3084,22,19,2,1,1,false,2,2,"{22=(D:2,W:6) 30=(D:3,W:6)}","{22=(D:2,W:6)} | {30=(D:3,W:6)}"
W_to_D,32,3084,22,20,1,2,C2,true,2,2,"{4=(D:0,W:4) 12=(D:1,W:4)}","{4=(D:0,W:4)} | {12=(D:1,W:4)}"
W_to_D,32,3084,22,21,1,1,1,false,2,2,"{13=(D:1,W:5) 21=(D:2,W:5)}","{13=(D:1,W:5)} | {21=(D:2,W:5)}"
W_to_D,32,3084,22,21,2,1,1,false,2,2,"{11=(D:1,W:3) 19=(D:2,W:3)}","{11=(D:1,W:3)} | {19=(D:2,W:3)}"
W_to_D,32,3084,22,21,3,1,1,false,2,2,"{15=(D:1,W:7) 23=(D:2,W:7)}","{15=(D:1,W:7)} | {23=(D:2,W:7)}"
rec_sync,32,9,8,1,1,1,1,false,32,17,"{0=(D:0,W:0) 1=(D:0,W:1) 2=(D:0,W:2) 3=(D:0,W:3) 4=(D:0,W:4) 5=(D:0,W:5) 6=(D:0,W:6) 7=(D:0,W:7) 8=(D:1,W:0) 9=(D:1,W:1) 10=(D:1,W:2) 11=(D:1,W:3) 12=(D:1,W:4) 13=(D:1,W:5) 14=(D:1,W:6) 15=(D:1,W:7) 16=(D:2,W:0) 17=(D:2,W:1) 18=(D:2,W:2) 19=(D:2,W:3) 20=(D:2,W:4) 21=(D:2,W:5) 22=(D:2,W:6) 23=(D:2,W:7) 24=(D:3,W:0) 25=(D:3,W:1) 26=(D:3,W:2) 27=(D:3,W:3) 28=(D:3,W:4) 29=(D:3,W:5) 30=(D:3,W:6) 31=(D:3,W:7)}","{0=(D:0,W:0) 2=(D:0,W:2) 4=(D:0,W:4) 6=(D:0,W:6) 7=(D:0,W:7) 11=(D:1,W:3) 13=(D:1,W:5) 14=(D:1,W:6) 15=(D:1,W:7) 17=(D:2,W:1) 18=(D:2,W:2) 19=(D:2,W:3) 20=(D:2,W:4) 21=(D:2,W:5) 24=(D:3,W:0) 25=(D:3,W:1)} | {1=(D:0,W:1)} | {3=(D:0,W:3)} | {5=(D:0,W:5)} | {8=(D:1,W:0)} | {9=(D:1,W:1)} | {10=(D:1,W:2)} | {12=(D:1,W:4)} | {16=(D:2,W:0)} | {22=(D:2,W:6)} | {23=(D:2,W:7)} | {26=(D:3,W:2)} | {27=(D:3,W:3)} | {28=(D:3,W:4)} | {29=(D:3,W:5)} | {30=(D:3,W:6)} | {31=(D:3,W:7)}"
rec_sync,32,9,8,2,1,1,1,false,16,6,"{0=(D:0,W:0) 2=(D:0,W:2) 4=(D:0,W:4) 6=(D:0,W:6) 7=(D:0,W:7) 11=(D:1,W:3) 13=(D:1,W:5) 14=(D:1,W:6) 15=(D:1,W:7) 17=(D:2,W:1) 18=(D:2,W:2) 19=(D:2,W:3) 20=(D:2,W:4) 21=(D:2,W:5) 24=(D:3,W:0) 25=(D:3,W:1)}","{0=(D:0,W:0) 6=(D:0,W:6) 7=(D:0,W:7) 11=(D:1,W:3) 13=(D:1,W:5) 14=(D:1,W:6) 17=(D:2,W:1) 18=(D:2,W:2) 19=(D:2,W:3) 21=(D:2,W:5) 25=(D:3,W:1)} | {2=(D:0,W:2)} | {4=(D:0,W:4)} | {15=(D:1,W:7)} | {20=(D:2,W:4)} | {24=(D:3,W:0)}"
rec_sync,32,9,8,3,1,1,1,false,11,4,"{0=(D:0,W:0) 6=(D:0,W:6) 7=(D:0,W:7) 11=(D:1,W:3) 13=(D:1,W:5) 14=(D:1,W:6) 17=(D:2,W:1) 18=(D:2,W:2) 19=(D:2,W:3) 21=(D:2,W:5) 25=(D:3,W:1)}","{0=(D:0,W:0) 11=(D:1,W:3) 14=(D:1,W:6) 17=(D:2,W:1) 18=(D:2,W:2) 19=(D:2,W:3) 21=(D:2,W:5) 25=(D:3,W:1)} | {6=(D:0,W:6)} | {7=(D:0,W:7)} | {13=(D:1,W:5)}"
rec_sync,32,9,8,4,1,1,1,false,8,2,"{0=(D:0,W:0) 11=(D:1,W:3) 14=(D:1,W:6) 17=(D:2,W:1) 18=(D:2,W:2) 19=(D:2,W:3) 21=(D:2,W:5) 25=(D:3,W:1)}","{0=(D:0,W:0) 11=(D:1,W:3) 14=(D:1,W:6) 17=(D:2,W:1) 18=(D:2,W:2) 19=(D:2,W:3) 21=(D:2,W:5)} | {25=(D:3,W:1)}"
rec_sync,32,9,8,5,1,1,1,false,7,2,"{0=(D:0,W:0) 11=(D:1,W:3) 14=(D:1,W:6) 17=(D:2,W:1) 18=(D:2,W:2) 19=(D:2,W:3) 21=(D:2,W:5)}","{0=(D:0,W:0) 11=(D:1,W:3) 17=(D:2,W:1) 18=(D:2,W:2) 19=(D:2,W:3) 21=(D:2,W:5)} | {14=(D:1,W:6)}"
rec_sync,32,9,8,6,1,1,1,false,6,2,"{0=(D:0,W:0) 11=(D:1,W:3) 17=(D:2,W:1) 18=(D:2,W:2) 19=(D:2,W:3) 21=(D:2,W:5)}","{0=(D:0,W:0) 11=(D:1,W:3) 17=(D:2,W:1) 18=(D:2,W:2) 19=(D:2,W:3)} | {21=(D:2,W:5)}"
rec_sync,32,9,8,7,1,3,C3,true,5,5,"{0=(D:0,W:0) 11=(D:1,W:3) 17=(D:2,W:1) 18=(D:2,W:2) 19=(D:2,W:3)}","{0=(D:0,W:0)} | {11=(D:1,W:3)} | {17=(D:2,W:1)} | {18=(D:2,W:2)} | {19=(D:2,W:3)}"
