system,window_size,depth,is_representative,permutator_order,permutator_sd,holonomy_order,holonomy_sd,n_tiles,classification,moves_D,moves_W,composite_pairs,window_paper
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"4=(D:0,W:4)->29=(D:3,W:5) ; 29=(D:3,W:5)->4=(D:0,W:4)","4=(D:0,W:4) 29=(D:3,W:5)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"10=(D:1,W:2)->31=(D:3,W:7) ; 31=(D:3,W:7)->10=(D:1,W:2)","10=(D:1,W:2) 31=(D:3,W:7)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"12=(D:1,W:4)->17=(D:2,W:1) ; 17=(D:2,W:1)->12=(D:1,W:4)","12=(D:1,W:4) 17=(D:2,W:1)"
W_to_D,2,17,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","18=(D:2,W:2) 19=(D:2,W:3)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"19=(D:2,W:3)->30=(D:3,W:6) ; 30=(D:3,W:6)->19=(D:2,W:3)","19=(D:2,W:3) 30=(D:3,W:6)"
W_to_D,4,7,true,2,"C2",2,"C2",4,COMPOSITE,true,true,"10=(D:1,W:2)->19=(D:2,W:3) ; 17=(D:2,W:1)->31=(D:3,W:7) ; 19=(D:2,W:3)->10=(D:1,W:2) ; 31=(D:3,W:7)->17=(D:2,W:1)","10=(D:1,W:2) 17=(D:2,W:1) 19=(D:2,W:3) 31=(D:3,W:7)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"19=(D:2,W:3)->31=(D:3,W:7) ; 31=(D:3,W:7)->19=(D:2,W:3)","19=(D:2,W:3) 31=(D:3,W:7)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"4=(D:0,W:4)->13=(D:1,W:5) ; 13=(D:1,W:5)->4=(D:0,W:4)","4=(D:0,W:4) 13=(D:1,W:5)"
W_to_D,2,17,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","9=(D:1,W:1) 10=(D:1,W:2)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"13=(D:1,W:5)->22=(D:2,W:6) ; 22=(D:2,W:6)->13=(D:1,W:5)","13=(D:1,W:5) 22=(D:2,W:6)"
W_to_D,2,17,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","10=(D:1,W:2) 11=(D:1,W:3)"
